"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/29","玡马","SO2",1.5,1.1,1.3,1.2,1.1,1.1,1.1,1.2,1.3,2,1.7,2.3,3.4,5.6,5.9,5.4,3.7,3.4,2.5,2.5,2.3,2.3,2.1,1.9
"2018/01/30","玡马","CO",0.7,0.58,0.6,0.59,0.57,0.6,0.75,0.82,0.86,0.97,0.74,0.45,0.55,0.57,0.54,0.51,0.57,0.79,0.96,0.95,0.79,0.84,0.8,0.77
"2018/01/30","玡马","NOx",29,23,24,20,24,22,31,35,38,55,47,21,20,24,21,21,26,39,44,43,34,38,38,39
"2018/01/30","玡马","O3",3.5,4.4,3.4,6.8,3.3,3.8,2.4,3.4,8.4,9.4,20,34,39,38,48,47,38,22,13,8.8,13,7.5,4.6,3.1
"2018/01/30","玡马","PM10",56,57,41,25,28,30,33,45,47,48,57,42,35,45,55,56,52,62,72,66,61,67,78,83
"2018/01/30","玡马","SO2",1.9,1.6,1.4,1.4,1.6,1.5,1.7,1.7,2.3,3.9,5.9,4.1,2.8,3.3,3,2.6,3.2,2.8,2.4,2.2,2.3,2.7,2.7,2.6
"2018/01/31","玡马","CO",0.7,0.66,0.67,0.61,0.56,0.6,0.7,1.07,1.24,1.27,0.8,0.82,0.71,0.71,0.68,0.54,0.6,0.78,0.77,0.68,0.56,0.6,0.59,0.53
"2018/01/31","玡马","NOx",37,33,35,36,35,30,38,53,57,59,54,42,31,28,29,21,27,32,33,30,23,21,17,13
"2018/01/31","玡马","O3",2.6,2.4,1.8,2.4,1.9,2.3,2.3,3.9,7.8,17,16,33,50,63,59,49,40,31,21,17,17,16,20,22
"2018/01/31","玡马","PM10",82,74,68,65,62,60,58,66,72,80,87,85,80,79,92,83,65,72,84,84,76,73,65,46
"2018/01/31","玡马","SO2",2.8,2.7,2.9,3.1,4,2.5,2.6,3.5,5.5,6,8.9,4.4,4.1,3.4,3.7,3.5,3.1,2.7,3,2.9,1.7,1.4,1.2,1.4
"2018/02/01","玡马","CO",0.5,0.48,0.47,0.5,0.48,0.52,0.52,0.77,0.85,0.81,0.74,0.8,0.85,0.75,0.73,0.74,0.74,0.94,1.17,1.07,1.07,1.02,0.89,0.89
"2018/02/01","玡马","NOx",12,14,13,14,18,14,15,26,33,33,34,40,40,31,32,32,34,33,45,44,42,37,34,40
"2018/02/01","玡马","O3",22,19,18,15,13,18,18,12,10,15,15,16,19,30,34,40,39,39,21,16,11,8.4,8.4,3.7
"2018/02/01","玡马","PM10",33,37,33,31,37,39,36,37,42,51,55,54,62,69,76,83,89,96,109,117,115,107,102,103
"2018/02/01","玡马","SO2",1.4,0.7,0.6,0.6,0.7,0.6,0.6,0.7,1,1.3,1.3,2,2.1,2,2.5,2.7,2.9,2.2,2.1,2.2,2.5,2.1,2.2,3.3
"2018/02/02","玡马","CO",0.82,0.82,0.77,0.77,0.77,0.71,0.78,0.99,1.33,1.24,1.01,0.94,0.57,0.5,0.46,0.46,0.54,0.6,0.56,0.55,0.53,0.53,0.52,0.46
