"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/27","キ马","O3",36,36,38,38,38,37,35,33,31,33,34,35,37,35,34,31,23,19,19,16,12,6.5,2.2,3.7
"2018/01/27","キ马","PM10",13,18,23,31,27,28,32,33,32,19,11,4,6,21,17,26,18,19,20,20,28,21,32,35
"2018/01/27","キ马","SO2",2,3.1,2.1,2.2,1.8,1.7,1.6,1.7,1.9,2,1.9,2.1,2.1,2.3,2.2,2.3,2.4,3.2,2.5,2.9,3,3.9,3.2,3.4
"2018/01/28","キ马","CO",0.51,0.41,0.37,0.33,0.22,0.23,0.29,0.35,0.35,0.36,0.33,0.34,0.34,0.34,0.3,0.29,0.29,0.31,0.31,0.31,0.32,0.3,0.27,0.23
"2018/01/28","キ马","NOx",36,28,26,21,10,9.7,12,15,18,19,20,20,22,24,21,22,21,21,18,17,19,16,13,9.1
"2018/01/28","キ马","O3",2,7,7,12,28,23,19,16,16,16,18,18,17,18,21,19,21,22,23,22,19,22,27,33
"2018/01/28","キ马","PM10",46,52,58,59,60,55,53,40,32,16,11,14,22,25,26,25,29,28,25,27,23,19,15,23
"2018/01/28","キ马","SO2",3.3,2.8,2.8,2.1,0.7,0.9,0.6,0.8,0.8,0.6,0.7,0.8,1.3,1.4,1.3,1.4,1.2,1,0.7,0.6,1,0.9,0.6,0.7
"2018/01/29","キ马","CO",0.21,0.17,0.18,0.18,0.2,0.23,0.29,0.4,0.46,0.42,0.44,0.46,0.49,0.44,0.49,0.53,0.6,0.71,0.75,0.71,0.7,0.67,NA,NA
"2018/01/29","キ马","NOx",8.2,7.6,6.9,6.6,7.5,10,13,20,26,27,30,37,31,21,24,28,NA,NA,NA,NA,NA,NA,NA,NA
"2018/01/29","キ马","O3",33,31,31,32,31,28,26,24,21,20,19,15,18,23,21,20,20,23,23,25,27,22,NA,NA
"2018/01/29","キ马","PM10",28,28,23,23,21,18,18,18,13,13,22,22,25,35,35,33,28,24,26,38,39,39,NA,NA
"2018/01/29","キ马","SO2",1.1,1.2,0.9,1,1.4,1,1.1,1.4,1.2,1.6,1.8,1.8,1.9,1.3,1.2,1.6,1.5,1.5,1.5,1.8,1.3,1.4,NA,NA
"2018/01/30","キ马","CO",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0.39,0.43,0.4,0.42,NA,0.44,0.45,0.55,0.59,0.49,0.43,0.42,0.38,0.35
"2018/01/30","キ马","NOx",NA,NA,NA,NA,NA,NA,NA,NA,NA,22,19,22,20,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018/01/30","キ马","O3",NA,NA,NA,NA,NA,NA,NA,NA,NA,29,31,27,28,NA,23,24,22,21,22,25,29,30,33,36
