"дщ┤┴","┤·п╕","┤·╢╡","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/20","оч╢щ","NOx",12,9.6,7.6,7.3,7.2,9.4,11,14,16,18,20,20,16,16,19,18,24,26,21,16,16,18,13,9.3
"2018/01/20","оч╢щ","O3",32,35,38,38,38,38,39,39,36,34,34,36,41,40,37,36,31,28,30,35,36,34,39,44
"2018/01/20","оч╢щ","PM10",44,35,28,24,21,17,21,26,43,45,43,44,41,32,38,52,47,44,40,38,24,21,17,21
"2018/01/20","оч╢щ","SO2",3.7,3.7,3.7,3.2,3.3,3.1,3.5,4.3,5.2,4.3,4.1,5.2,3.9,4.5,4.9,5,7,6.3,6.4,6,6.9,10,9.1,6.2
"2018/01/21","оч╢щ","CO",0.39,0.37,0.35,0.32,0.32,0.32,0.39,0.47,0.43,0.4,0.43,0.45,0.45,0.39,0.43,0.46,0.48,0.49,0.51,0.61,0.78,0.61,0.52,0.43
"2018/01/21","оч╢щ","NOx",7.3,6.6,5.8,5.2,7.5,8.8,13,16,14,13,13,15,15,12,14,19,19,18,18,24,35,36,26,18
"2018/01/21","оч╢щ","O3",46,46,46,46,42,41,36,34,37,37,38,37,37,38,34,30,28,28,26,19,11,10,18,25
"2018/01/21","оч╢щ","PM10",21,24,30,28,23,16,17,17,22,18,20,18,23,25,19,19,15,26,31,31,26,29,46,44
"2018/01/21","оч╢щ","SO2",5.2,4,4.1,4,6.5,6.5,5.8,2.6,3.4,5.6,3.4,2.9,2.7,2.6,3,4.2,5,4.7,5.8,6.9,7.9,9.2,6.6,5
"2018/01/22","оч╢щ","CO",0.37,0.33,0.35,0.36,0.35,0.38,0.49,0.6,0.56,0.45,0.5,0.59,0.59,0.63,0.65,0.63,0.64,0.66,0.71,0.6,0.5,0.46,0.4,0.35
"2018/01/22","оч╢щ","NOx",12,8.8,11,12,12,11,26,27,21,22,24,28,23,21,17,18,22,21,24,19,13,14,10,7.7
"2018/01/22","оч╢щ","O3",34,35,30,29,25,27,17,17,24,26,28,25,31,36,47,46,38,40,37,38,41,39,42,43
"2018/01/22","оч╢щ","PM10",43,26,38,50,60,62,61,68,65,52,38,38,37,43,37,36,31,27,20,20,25,35,37,32
"2018/01/22","оч╢щ","SO2",2.4,3.1,3.3,3.1,4.4,4,4.3,3.9,2.9,3.5,3,3.5,4.1,4,3.9,3.1,3,3.1,3.6,5.8,5.6,6.2,5.2,4.5
"2018/01/23","оч╢щ","CO",0.31,0.27,0.25,0.24,0.23,0.25,0.32,0.47,0.51,0.42,0.36,0.3,0.3,0.29,0.29,0.32,0.35,0.47,0.36,0.43,0.43,0.37,0.39,0.29
"2018/01/23","оч╢щ","NOx",6.1,7,6.4,5.7,6.5,8.8,15,21,22,23,20,15,14,14,17,19,22,22,15,18,17,13,15,9.3
"2018/01/23","оч╢щ","O3",43,43,44,44,44,42,36,32,33,34,37,42,44,43,39,36,32,30,39,35,36,39,38,42
"2018/01/23","оч╢щ","PM10",29,31,32,32,28,31,32,37,39,43,37,38,36,42,38,47,36,43,33,42,35,33,30,26
"2018/01/23","оч╢щ","SO2",3.8,3.6,3.6,2.8,3.1,4.1,4,4.6,3.9,3.3,3.3,3.8,4.8,5.3,6.3,6.5,7.7,5.1,4.7,5.8,6,4.9,5.4,6.2
"2018/01/24","оч╢щ","CO",0.3,0.3,0.3,0.31,0.33,0.36,0.46,0.68,0.61,0.5,0.46,NA,0.41,0.41,0.41,0.41,0.4,0.43,0.43,0.45,0.47,0.39,0.39,0.35
"2018/01/24","оч╢щ","NOx",11,6.8,7.2,7.5,8.2,8.9,17,28,21,17,16,NA,11,14,15,18,14,13,13,14,16,11,11,8.6
"2018/01/24","оч╢щ","O3",41,45,44,43,43,41,34,27,33,38,40,NA,37,39,38,35,36,36,35,33,32,35,36,38
"2018/01/24","оч╢щ","PM10",30,35,38,47,47,54,50,49,54,58,61,NA,63,57,46,38,34,35,28,21,19,25,33,30
"2018/01/24","оч╢щ","SO2",6.2,4.7,5.2,6.7,6.7,5.2,6.6,5.3,5.3,5.1,4.9,NA,3.4,3.5,3.9,4.1,3.8,3.7,4.1,4.5,5,5.2,5.4,5.1
