"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/30","打","SO2",2.1,1.5,1.5,2,1.9,1.8,1.4,1.6,2,2,1.7,1.7,1.8,2.4,2,1.9,2.2,1.8,1.8,1.8,1.7,1.3,1.5,1.4
"2018/01/31","打","CO",0.31,0.29,0.29,0.3,0.29,0.29,0.27,0.35,0.4,0.38,0.38,0.37,0.31,0.25,0.26,0.22,0.2,0.2,0.36,0.44,0.42,0.44,0.41,0.46
"2018/01/31","打","NOx",6.8,6.8,5.9,8.8,8.3,10,8.2,11,17,20,20,19,16,9.2,10,9.1,7.7,4.1,5.1,7,7.1,7.6,6.7,7.1
"2018/01/31","打","O3",39,40,40,34,36,35,39,35,32,29,32,32,34,39,38,39,42,45,42,40,40,42,43,42
"2018/01/31","打","PM10",14,13,10,12,13,14,16,14,16,21,23,22,21,22,24,21,14,12,14,17,19,20,19,21
"2018/01/31","打","SO2",2.6,1.8,1.7,2,2.3,2,1.7,1.6,2.3,2.1,2.4,2.7,3.1,2,2,2,1.7,1.3,1.1,1.1,0.9,1.1,1.3,1.3
"2018/02/01","打","CO",0.52,0.58,0.53,0.49,0.53,0.58,0.6,0.7,0.7,0.67,0.73,0.76,0.76,0.66,0.63,0.68,0.65,0.62,0.61,0.53,0.47,0.4,0.32,0.31
"2018/02/01","打","NOx",7.5,8.7,8.1,6.6,6.2,6.7,7.5,11,13,12,17,18,20,19,20,25,22,18,20,12,9.5,8,6.9,8.1
"2018/02/01","打","O3",38,36,38,40,39,37,37,32,31,33,28,25,23,25,25,22,26,29,27,39,40,42,44,43
"2018/02/01","打","PM10",22,24,33,35,33,37,49,66,79,84,95,106,108,97,85,88,88,83,78,73,61,41,27,23
"2018/02/01","打","SO2",1.8,1,0.9,0.9,0.9,0.9,1.1,1.7,1.7,1.4,2.2,2.2,1.5,1.3,1.7,1.8,1.2,0.7,0.8,1,0.4,0.1,0.4,0.4
"2018/02/02","打","CO",0.29,0.28,0.29,0.31,0.3,0.32,0.34,0.38,0.32,0.32,0.31,0.29,0.29,0.26,0.25,0.32,0.36,0.35,0.35,0.34,0.34,0.34,0.33,0.3
