"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"2018/01/28","大里","SO2",1.6,1.8,2.1,1.8,2,1.9,1.7,2,1.8,1.9,1.9,1.9,2,1.7,1.9,1.8,1.9,1.8,1.7,1.6,1.5,1.5,1.8,1.7
"2018/01/29","大里","CO",0.26,0.22,0.2,0.2,0.2,0.2,0.24,0.34,0.45,0.49,0.44,0.51,0.51,0.41,0.47,0.49,0.53,0.65,0.68,0.61,0.69,0.68,0.64,0.62
"2018/01/29","大里","NOx",11,6.7,4.5,5.1,4.6,4.9,7.4,12,17,22,22,28,27,16,19,19,20,23,22,15,20,19,15,15
"2018/01/29","大里","O3",18,26,27,28,28,27,25,22,18,15,17,15,17,24,21,21,18,14,15,20,16,18,18,17
"2018/01/29","大里","PM10",11,8,6,4,8,8,14,12,19,14,18,17,21,14,16,20,24,19,14,12,12,9,9,6
"2018/01/29","大里","SO2",1.3,1.3,1,1.2,1.2,1.3,1.2,1.3,1.7,1.6,1.8,1.8,1.6,1.4,1.3,1.4,1.3,1.4,1.3,1.2,1.2,1.4,1.1,1
"2018/01/30","大里","CO",0.54,0.47,0.46,0.44,0.45,0.35,0.33,0.57,0.7,0.66,0.63,0.7,0.67,0.67,0.7,0.8,0.81,0.65,0.81,0.69,0.62,0.65,0.68,0.7
"2018/01/30","大里","NOx",11,9.3,7.5,7,8.6,9.3,10,20,30,35,35,40,42,44,40,45,48,41,47,36,34,37,39,40
"2018/01/30","大里","O3",25,27,26,27,22,30,28,18,12,11,15,16,11,13,17,13,6.5,3.1,0.9,1.4,1.6,0.9,0.9,0.8
"2018/01/30","大里","PM10",5,4,9,12,8,4,9,14,13,18,25,40,42,41,41,37,50,46,43,28,24,21,23,20
"2018/01/30","大里","SO2",1.3,1.4,1.2,1.2,1.3,1.3,1.4,1.4,2,2,2.1,2.9,2.2,2.1,2,2.3,2.4,2.4,2.4,2.2,2.1,1.8,1.9,2.2
"2018/01/31","大里","CO",0.69,0.55,0.66,0.58,0.53,0.55,0.75,1.06,1.02,1.15,0.78,0.69,0.6,0.56,0.53,0.44,0.43,0.47,0.47,0.4,0.5,0.55,0.51,0.47
"2018/01/31","大里","NOx",41,38,42,36,34,31,42,42,65,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018/01/31","大里","O3",0.7,0.8,0.9,0.8,0.7,1.1,1.2,1.8,2.5,6.7,14,14,25,34,26,26,25,23,26,29,28,25,25,28
"2018/01/31","大里","PM10",25,30,32,36,35,31,26,29,45,52,NA,52,54,46,47,43,45,33,20,14,10,11,5,4
