"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/25","获","NOx",35,35,33,30,31,31,40,50,62,66,55,50,40,38,35,28,28,42,39,32,41,31,NA,NA
"2018/01/25","获","O3",5,2.7,2.9,3.5,2.5,1.9,1.6,2.6,4.8,9,18,26,32,39,47,51,42,27,22,21,9.1,12,NA,NA
"2018/01/25","获","PM10",118,102,92,86,79,79,83,83,91,99,117,120,115,100,86,80,79,91,105,112,118,108,NA,NA
"2018/01/25","获","SO2",7.4,5.6,5.7,6,6,5.2,5.6,7.2,6.5,7.8,6.5,5.3,5.2,6.6,4.5,3.4,3.1,4.5,4.4,4,4.2,3.5,NA,NA
"2018/01/26","获","CO",NA,0.48,0.41,0.39,0.35,0.36,0.39,0.54,0.54,0.44,0.49,0.48,0.48,0.47,0.51,NA,NA,NA,NA,0.55,0.52,0.54,0.45,0.37
"2018/01/26","获","NOx",NA,31,23,28,25,25,22,27,NA,26,37,32,31,26,25,NA,NA,NA,33,29,26,29,27,29
"2018/01/26","获","O3",1.8,2.8,7.3,3.3,3.1,4.5,5.4,5.9,10,16,18,27,33,41,NA,NA,NA,NA,17,16,13,9.7,8.7,5.1
"2018/01/26","获","PM10",81,80,64,64,68,70,74,71,72,61,67,68,86,84,NA,NA,164,165,176,167,141,108,86,74
"2018/01/26","获","SO2",NA,4.7,3.2,3.9,3.8,4.1,2.5,2.7,2.7,2.7,3.6,2.3,1.9,2,2,NA,NA,3,3.6,2.9,3,2.8,3.3,4.3
"2018/01/27","获","CO",0.36,0.35,0.34,0.34,0.35,0.38,0.45,0.53,0.61,0.62,0.72,0.7,0.53,0.46,0.49,0.43,0.49,0.64,0.85,0.74,0.64,0.68,0.68,0.58
"2018/01/27","获","NOx",29,28,29,30,30,32,36,44,51,52,58,35,21,18,20,14,16,22,35,36,31,35,33,28
"2018/01/27","获","O3",3.7,3.5,2.8,2.1,1.7,1.7,1.5,3.1,4.9,11,17,39,47,53,46,45,45,36,23,19,17,12,9.9,9.6
"2018/01/27","获","PM10",61,49,48,52,48,43,38,41,49,64,80,86,81,76,47,43,63,68,70,78,79,82,84,90
"2018/01/27","获","SO2",3.5,3.6,4.1,4.7,4.1,4.2,4.2,4,5.5,4.9,5.3,2.2,1.8,1.8,2.9,1.4,1.5,2,2.2,2.7,2.6,2.9,2.4,2.7
"2018/01/28","获","CO",0.57,0.42,0.37,0.35,0.36,0.46,0.51,0.42,0.4,0.46,0.5,0.5,0.44,0.35,0.36,0.6,0.61,0.59,0.63,0.6,0.51,0.49,0.47,0.42
"2018/01/28","获","NOx",31,26,20,15,12,15,25,19,14,17,17,20,17,11,9.7,21,23,26,30,33,30,35,33,27
"2018/01/28","获","O3",7.3,6.8,6.7,11,14,10,4.3,9.5,17,21,28,39,50,54,52,50,36,28,16,6.5,4.8,2,1.9,3.6
"2018/01/28","获","PM10",93,91,85,78,78,70,77,85,98,97,90,79,77,66,59,62,75,85,87,73,69,51,47,53
"2018/01/28","获","SO2",4.4,5.1,3.5,2.7,2.2,2.4,3.4,2.1,2.2,2.2,2.3,4.5,4.3,2.3,2,2.9,2.7,3.1,3.9,3.9,3.8,3.9,3.4,2
"2018/01/29","获","CO",0.38,0.31,0.31,0.3,0.27,0.26,0.3,0.41,0.42,0.47,0.53,0.61,0.75,0.92,0.56,0.53,0.8,0.74,0.75,0.71,0.7,0.67,0.62,0.58
"2018/01/29","获","NOx",25,21,21,18,16,16,20,22,27,32,50,49,51,53,33,32,42,44,49,50,42,35,41,35
"2018/01/29","获","O3",2.7,4.4,4.3,6,8.5,11,8.7,9.3,7.4,7.4,4.7,8.2,12,12,21,22,13,6.8,1.9,2,2,2.9,1.5,1.6
"2018/01/29","获","PM10",53,54,38,39,33,39,33,37,38,43,55,59,70,68,68,66,68,72,70,74,67,65,61,62
"2018/01/29","获","SO2",3.4,2.7,3.2,2.9,2.7,2.8,3.1,2.3,2.2,2.3,3.7,3,4,9.8,4.7,4.5,4.4,4.1,5,4.6,2.6,2.5,4.8,4.5
"2018/01/30","获","CO",0.57,0.57,0.62,0.58,0.58,0.63,0.74,0.79,0.71,0.75,0.98,0.75,0.72,0.65,0.69,0.62,0.59,0.67,0.69,0.76,0.72,0.64,0.62,0.67
"2018/01/30","获","NOx",31,29,25,24,21,30,31,35,30,32,46,32,24,24,31,31,32,34,35,42,39,27,29,40
"2018/01/30","获","O3",1.9,1.7,2.5,3.2,3.7,1.6,1.7,2.9,7.1,9.6,16,31,36,37,39,36,29,21,13,6.4,6.3,9.2,5.5,1.6
"2018/01/30","获","PM10",55,47,39,32,23,31,37,46,38,44,52,56,52,50,55,70,73,77,68,62,62,71,76,73
"2018/01/30","获","SO2",3.7,2.2,1.8,1.5,1.2,1.9,2.1,1.6,1.5,2,3,3.1,2.1,2.4,2.4,2.1,2.5,2.5,2.8,3,2.7,2.5,2.3,2.6
"2018/01/31","获","CO",0.65,0.65,0.66,0.64,0.57,0.57,0.65,0.93,1.19,1.05,1.25,0.94,0.77,0.6,0.64,0.62,0.61,0.59,0.7,0.6,0.49,0.54,0.52,0.49
"2018/01/31","获","NOx",42,43,43,36,30,41,52,49,57,51,73,51,40,24,29,29,31,28,34,29,22,21,20,19
"2018/01/31","获","O3",1.4,1.5,1.4,1.6,2.6,1.6,1.7,3.4,7.1,16,15,32,44,54,54,41,35,30,18,16,16,14,15,16
"2018/01/31","获","PM10",67,63,59,54,50,46,47,53,61,64,74,85,91,79,71,69,72,74,73,75,73,72,68,56
"2018/01/31","获","SO2",3.3,4.9,4.9,3.7,2.8,4.9,5.2,4.8,5.6,4.5,5.4,4.1,4,3.6,3.3,3,3.2,2.8,3.5,3.3,1.9,1.8,2.2,2
